trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min
240702_0.6_320,0.6,320.13216184940376,0.0008,2.4989679118099205e-06,-5.326345275652916,-0.3267980028151894,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240708_0.6_16000,0.6,16006.608092470187,0.04,2.4989679118099205e-06,0.2286039180296593,0.7029711371793624,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240708_0.6_1600,0.6,1600.6608092470187,0.004,2.4989679118099205e-06,-0.6226058134536268,0.8018792872049376,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240708_0.6_1600000,0.6,1600660.8092470188,4.0,2.4989679118099205e-06,0.7759557532286954,-0.0964559675073129,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.5_16,0.5,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.8_32,0.8,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.6_32,0.6,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901

240702_0.6_160000000,0.6,160066080.92470187,400.0,2.4989679118099205e-06,0.2990422738279968,-0.8640310847613163,800.0,800.0,5000.0,0.007212243962666301,0.00012171750179019365,256.0,0.8000520085818912
240716_0.6_6.4,0.6,6.402643236988078,1.6e-05,2.4989679118099203e-10,-1.0,-1.0,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,3.871020306548131
240716_0.6_3.2,0.6,3.201321618494039,8e-06,2.4989679118099203e-10,-1.0,-1.0,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,4.399122779147117
240716_0.6_0.8,0.6,0.8003304046235094,2e-06,2.4989679118099203e-10,-1.0,-1.0,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,0.96679875
240716_0.6_0.4,0.6,0.4001652023117547,1e-06,2.4989679118099203e-10,-1.0,-1.0,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,0.96679875
