trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min
240620_0.3_160,0.3,160.06608092470188,0.0004,2.4989679118099205e-06,-1.0,0.0467602408119568,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.3_4,0.3,4.001652023117547,1e-05,2.4989679118099205e-06,-1.0,-0.3259860432854186,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.5_160,0.5,160.06608092470188,0.0004,2.4989679118099205e-06,-1.0,0.0142721097746072,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.5_16,0.5,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.8_320,0.8,320.13216184940376,0.0008,2.4989679118099205e-06,-1.0,-0.0040112691575614,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.8_32,0.8,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.3_800,0.3,800.3304046235094,0.002,2.4989679118099205e-06,-1.4189833062615458,0.0221060674473255,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.5_800,0.5,800.3304046235094,0.002,2.4989679118099205e-06,-2.897990098067986,0.0872480170692303,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.8_1600,0.8,1600.6608092470187,0.004,2.4989679118099205e-06,-2.219604616158854,0.0611968387492006,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.6_32,0.6,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.6_320,0.6,320.13216184940376,0.0008,2.4989679118099205e-06,-1.0,0.0735704567361088,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.6_1600,0.6,1600.6608092470187,0.004,2.4989679118099205e-06,-2.4078174773190844,0.0973248246306276,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.3_8000,0.3,8003.304046235094,0.02,2.4989679118099205e-06,-0.94668961066442,0.0298756316185101,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.3_80000,0.3,80033.04046235094,0.2,2.4989679118099205e-06,-0.697922291277525,-0.0162754085131023,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.5_8000,0.5,8003.304046235094,0.02,2.4989679118099205e-06,-1.3903022359625727,0.0397554379097887,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.5_80000,0.5,80033.04046235094,0.2,2.4989679118099205e-06,-0.8450727488463842,0.0005820197352942,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.6_16000,0.6,16006.608092470187,0.04,2.4989679118099205e-06,-0.720956098448704,-0.0131987801030459,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.6_160000,0.6,160066.08092470188,0.4,2.4989679118099205e-06,-0.3965887146195802,-0.0987707166147657,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.8_16000,0.8,16006.608092470187,0.04,2.4989679118099205e-06,-1.559968360582894,0.1011759231267133,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240626_0.8_160000,0.8,160066.08092470188,0.4,2.4989679118099205e-06,-0.5951313557645058,0.0116093084030128,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240627_0.3_800000,0.3,800330.4046235094,2.0,2.4989679118099205e-06,-0.225171423538736,-0.1813719050123491,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240628_0.6_1600000,0.6,1600660.8092470188,4.0,2.4989679118099205e-06,-0.6594591479078565,-0.0146440471160838,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240628_0.6_16000000,0.6,16006608.092470188,40.0,2.4989679118099205e-06,-0.5939998987883851,-0.048780895339431,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240628_0.6_160000000,0.6,160066080.92470187,400.0,2.4989679118099205e-06,-0.7692457158140986,-0.014762080097043728,800.0,800.0,5000.0,0.007212243962666301,0.00012171750179019365
