trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min
240702_0.6_320,0.6,320.13216184940376,0.0008,2.4989679118099205e-06,-5.326345275652916,-0.3267980028151894,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.5_16,0.5,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.8_32,0.8,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240620_0.6_32,0.6,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240708_0.6_1600,0.6,1600.6608092470187,0.004,2.4989679118099205e-06,-0.6226058134536268,0.8018792872049376,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901
240709_0.6_160000000,0.6,160066080.92470193,0.04,2.4989679118099203e-10,0.8441034915533221,-1.30557452722188,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08
240709_0.6_1600000,0.6,1600660.8092470192,0.0004,2.4989679118099203e-10,0.7706392745000012,0.055331895304219,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08
240709_0.6_16000,0.6,16006.608092470195,4.000000000000001e-06,2.49896791180992e-10,0.39546257822532416,0.6561588124999964,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08
240708_0.6_1600000,0.6,1600660.8092470188,4.0,2.4989679118099205e-06,0.582354911554267,0.1716806695629978,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,1.7001201837439408
240708_0.6_16000,0.6,16006.608092470187,0.04,2.4989679118099205e-06,-0.0970431853175145,0.7749995459010222,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.6001709347346176
