trial,x_mach,y,r_cl,l_shat,log_cloud_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min
240610_0.6_8,0.6,8.12827254707788,2e-05,2.46054741449215e-06,1.2014142773683032,8000.0,8000.0,500.0,0.007047635662635957,0.0001208881091945857
240610_0.6_2032,0.6,2032.06813676947,0.005,2.46054741449215e-06,0.15,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.6_120,0.6,121.92408820616818,0.0003,2.46054741449215e-06,-1.0,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.5_100,0.5,101.6034068384735,0.00025,2.46054741449215e-06,-1.0,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.5_4,0.5,4.06413627353894,1e-05,2.46054741449215e-06,-0.0805336470226279,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.3_40,0.3,40.6413627353894,0.0001,2.46054741449215e-06,-1.0,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.3_3,0.3,3.251309018831152,8e-06,2.46054741449215e-06,-0.0176146405878039,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.8_120,0.8,203.206813676947,0.0005,2.46054741449215e-06,-1.0,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.8_12,0.8,20.3206813676947,5e-05,2.46054741449215e-06,-1.0,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.3_400,0.3,406.413627353894,0.001,2.46054741449215e-06,0.1029142326809223,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.5_1000,0.3,1016.034068384735,0.0025,2.46054741449215e-06,0.1157590116452521,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240612_0.8_1200,0.3,2032.06813676947,0.005,2.46054741449215e-06,0.3034751278724791,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.3_4000,0.3,4064.13627353894,0.01,2.46054741449215e-06,0.1746395094587165,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.5_10000,0.5,10160.34068384735,0.025,2.46054741449215e-06,0.1738343150633235,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.8_12000,0.8,20320.6813676947,0.05,2.46054741449215e-06,0.2442752176534981,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.3_400,0.3,406.413627353894,0.001,2.46054741449215e-06,0.0976486232631611,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.5_1000,0.5,1016.034068384735,0.0025,2.46054741449215e-06,0.39100415017704,8000.0,8000.0,500.0,0.0632596397769652,0.0001208881091945
240618_0.8_1200,0.8,2032.06813676947,0.005,2.46054741449215e-06,0.3119327637718559,8000.0,8000.0,500.0,0.0070476356626359,0.0001208881091945
